Rank,Player,Team,Salary
420,Ray McCallum,SAS,947276
421,Seth Curry,SAC,947276
422,Allen Crabbe,POR,947276
423,Phil Pressey,POR,947276
424,Isaiah Canaan,PHI,947276
425,Hollis Thompson,PHI,947276
426,Lorenzo Brown,MIN,947276
427,Ian Clark,GSW,947276
428,Chris Babb,GSW,947276
429,Jamaal Franklin,DEN,947276
430,Troy Daniels,CHO,947276
431,Willie Reed,BRK,947276
432,Mike Muscala,ATL,947276
433,Jorge Gutierrez,MIL,947200
434,Wayne Ellington,SAC,923670
435,Damien Inglis,MIL,855000
436,Elijah Millsap,UTA,845059
437,Jack Cooley,UTA,845059
438,Bryce Cotton,UTA,845059
439,Eric Moreland,SAC,845059
440,David Stockton,SAC,845059
441,Tim Frazier,POR,845059
442,Terrico White,PHO,845059
443,Cory Jefferson,PHO,845059
444,JaKarr Sampson,PHI,845059
445,Jerami Grant,PHI,845059
446,Devyn Marble,ORL,845059
447,Langston Galloway,NYK,845059
448,Cleanthony Early,NYK,845059
449,Sean Kilpatrick,NOP,845059
450,Marcus Landry,MIL,845059
451,Johnny O'Bryant,MIL,845059
452,Keith Benson,MIA,845059
453,James Ennis,MIA,845059
454,Tyler Johnson,MIA,845059
455,Patrick Christopher,MEM,845059
456,Russ Smith,MEM,816482
457,JaMychal Green,MEM,845059
458,Jarnell Stokes,MEM,845059
459,Jordan Clarkson,LAL,845059
460,Tarik Black,LAL,845059
461,Jabari Brown,LAL,845059
462,Shayne Whittington,IND,845059
463,Jarell Eddie,GSW,845059
464,James Michael McAdoo,GSW,845059
465,Adonis Thomas,DET,845059
466,Spencer Dinwiddie,DET,845059
467,Nick Johnson,DEN,845059
468,Erick Green,DEN,845059
469,Matt Janning,DEN,845059
470,Dwight Powell,DAL,845059
471,Joe Harris,CLE,845059
472,Cameron Bairstow,CHI,845059
473,Markel Brown,BRK,845059
474,Glenn Robinson III,IND,845000
475,Pierre Jackson,PHI,750000
476,Anthony Brown,LAL,700000
477,Norman Powell,TOR,650000
478,Carlos Delfino,LAC,650000
479,Thanasis Antetokounmpo,NYK,543471
480,J.J. O'Brien,UTA,525093
481,Treveon Graham,UTA,525093
482,Shannon Scott,TOR,525093
483,Axel Toupane,TOR,525093
484,Michale Kyser,TOR,525093
485,Ronald Roberts,TOR,525093
486,Jonathon Simmons,SAS,525093
487,Marshall Henderson,SAC,525093
488,Vince Hunter,SAC,525093
489,Duje Dukan,SAC,525093
490,Pat Connaughton,POR,525093
491,Luis Montero,POR,525093
492,Cliff Alexander,POR,525093
