name,city,state,region,highest_degree,control,gender,admission_rate,sat_avg,undergrads,tuition,faculty_salary_avg,loan_default_rate,median_debt,lon,lat
Blackburn College,Carlinville,IL,Midwest,Bachelor,Private,CoEd,0.651,989,578,19560,5784,126,26000,-89.8817662,39.2797699
Trinity Christian College,Palos Heights,IL,Midwest,Graduate,Private,CoEd,0.9022,1080,1237,25515,6092,31,26196.5,-87.7964416,41.6680885
North Park University,Chicago,IL,Midwest,Graduate,Private,CoEd,0.5461,1025,2181,24600,7895,52,26500,-87.6297982,41.8781136
Millikin University,Decatur,IL,Midwest,Graduate,Private,CoEd,0.6273,1046,2082,29620,5818,71,27000,-88.9548001,39.8403147
Trinity International University-Illinois,Deerfield,IL,Midwest,Graduate,Private,CoEd,1,1062,857,27360,7129,61,27000,-87.8445119,42.1711365
Illinois Wesleyan University,Bloomington,IL,Midwest,Bachelor,Private,CoEd,0.6043,1249,1883,40844,7863,22,27000,-88.9936873,40.4842027
Bradley University,Peoria,IL,Midwest,Graduate,Private,CoEd,0.643,1162,4585,30844,8457,21,27000,-89.5889864,40.6936488
Illinois Institute of Technology,Chicago,IL,Midwest,Graduate,Private,CoEd,0.506,1266,3046,41645,11923,26,27000,-87.6297982,41.8781136
Monmouth College,Monmouth,IL,Midwest,Bachelor,Private,CoEd,0.6906,1033,1281,33200,6814,64,27436,-90.6473576,40.9114271
MacMurray College,Jacksonville,IL,Midwest,Bachelor,Private,CoEd,0.7837,970,546,23600,5323,108,28155,-90.2290098,39.733936
Chicago State University,Chicago,IL,Midwest,Graduate,Public,CoEd,0.2996,870,3874,9846,7380,133,30269,-87.6297982,41.8781136
Methodist College,Peoria,IL,Midwest,Bachelor,Private,CoEd,0.4386,930,595,19600,6261,30,30600.5,-89.5889864,40.6936488
Oakland City University,Oakland City,IN,Midwest,Graduate,Private,CoEd,0.5504,960,616,19800,4290,78,16973,-87.3450132,38.3386591
Indiana University-Kokomo,Kokomo,IN,Midwest,Graduate,Public,CoEd,0.6726,934,2724,6811,5696,108,19052,-86.1336033,40.486427
